Trade_Name,Code,Classification,Exam,Red_Seal,Trade_Details,Trade_Link
Information Technology – Contact Centre Customer Service Agent,634E,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/it-contact-centre-customer-service-agent/
Information Technology – Contact Centre Sales Agent,634D,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/it-contact-centre-sales-agent/
Information Technology – Contact Centre Technical Support Agent,634A,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/it-contact-centre-technical-support-agent/
Information Technology – Hardware Technician,634B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/it-hardware-technician/
Information Technology – Network Technician,634C,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/it-network-technician/
Institutional Cook,415D,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/institutional-cook/
Instrumentation and Control Technician,447A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/instrumentation-and-control-technician/
Ironworker – Generalist,420B,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/ironworker-generalist/
Ironworker – Structural and Ornamental,420A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/ironworker-structural-and-ornamental/
Light Rail Overhead Contact Systems Linesperson,207S,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/light-rail-overhead-contact-systems-linesperson/
Locksmith,259L,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/locksmith/
Machine Tool Builder and Integrator,430M,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/machine-tool-builder-and-integrator/
Marine Engine Technician,435B,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/marine-engine-technician/
Metal Fabricator (Fitter),437A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/metal-fabricator-fitter/
Micro Electronics Manufacturer,630A,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/micro-electronics-manufacturer/
Motive Power Machinist,410K,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/motive-power-machinist/
Motorcycle Technician,310G,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/motorcycle-technician/
Mould Designer,670E,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/mould-designer/
Mould Maker,431A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/mould-maker/
Mould or Die Finisher,277M,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/mould-or-die-finisher/
Native Clothing and Crafts Artisan,296B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/native-clothing-and-crafts-artisan/
Native Residential Construction Worker,296A,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/native-residential-construction-worker/
Network Cabling Specialist,631A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/network-cabling-specialist/
Optics Technician (Lens and Prism Maker),225A,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/optics-technician-lens-and-prism-maker/
Packaging Machine Mechanic,609C,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/packaging-machine-mechanic/
